,wikitext_mallet_0,wikitext_mallet_13,wikitext_mallet_18,wikitext_mallet_15,wikitext_mallet_30,wikitext_mallet_14,wikitext_mallet_49,wikitext_mallet_3,wikitext_mallet_35,wikitext_mallet_4,wikitext_mallet_29,wikitext_mallet_43,wikitext_mallet_19,wikitext_mallet_38,wikitext_mallet_24,wikitext_mallet_36,wikitext_mallet_6,wikitext_mallet_21,wikitext_mallet_22,wikitext_mallet_47,wikitext_mallet_10,wikitext_mallet_27,wikitext_mallet_39,wikitext_mallet_2,wikitext_mallet_12,wikitext_mallet_25,wikitext_mallet_31,wikitext_mallet_23,wikitext_mallet_1,wikitext_mallet_42,wikitext_mallet_44,wikitext_mallet_28,wikitext_mallet_20,wikitext_mallet_37,wikitext_mallet_16,wikitext_mallet_48,wikitext_mallet_7,wikitext_mallet_40,wikitext_mallet_17,wikitext_mallet_11,wikitext_mallet_32,wikitext_mallet_45,wikitext_mallet_5,wikitext_mallet_26,wikitext_mallet_33,wikitext_mallet_46,wikitext_mallet_9,wikitext_mallet_8,wikitext_mallet_41,wikitext_mallet_34,wikitext_dvae_44,wikitext_dvae_30,wikitext_dvae_6,wikitext_dvae_3,wikitext_dvae_33,wikitext_dvae_26,wikitext_dvae_32,wikitext_dvae_45,wikitext_dvae_34,wikitext_dvae_1,wikitext_dvae_5,wikitext_dvae_16,wikitext_dvae_11,wikitext_dvae_24,wikitext_dvae_15,wikitext_dvae_46,wikitext_dvae_28,wikitext_dvae_29,wikitext_dvae_31,wikitext_dvae_22,wikitext_dvae_19,wikitext_dvae_27,wikitext_dvae_23,wikitext_dvae_43,wikitext_dvae_4,wikitext_dvae_35,wikitext_dvae_21,wikitext_dvae_25,wikitext_dvae_9,wikitext_dvae_36,wikitext_dvae_10,wikitext_dvae_40,wikitext_dvae_12,wikitext_dvae_8,wikitext_dvae_0,wikitext_dvae_13,wikitext_dvae_37,wikitext_dvae_48,wikitext_dvae_7,wikitext_dvae_2,wikitext_dvae_14,wikitext_dvae_20,wikitext_dvae_42,wikitext_dvae_41,wikitext_dvae_17,wikitext_dvae_18,wikitext_dvae_39,wikitext_dvae_49,wikitext_dvae_47,wikitext_dvae_38,wikitext_etm_42,wikitext_etm_22,wikitext_etm_9,wikitext_etm_4,wikitext_etm_33,wikitext_etm_38,wikitext_etm_46,wikitext_etm_11,wikitext_etm_7,wikitext_etm_47,wikitext_etm_27,wikitext_etm_44,wikitext_etm_15,wikitext_etm_6,wikitext_etm_16,wikitext_etm_25,wikitext_etm_21,wikitext_etm_26,wikitext_etm_45,wikitext_etm_23,wikitext_etm_12,wikitext_etm_49,wikitext_etm_40,wikitext_etm_41,wikitext_etm_39,wikitext_etm_13,wikitext_etm_20,wikitext_etm_17,wikitext_etm_43,wikitext_etm_48,wikitext_etm_31,wikitext_etm_24,wikitext_etm_8,wikitext_etm_29,wikitext_etm_28,wikitext_etm_14,wikitext_etm_32,wikitext_etm_36,wikitext_etm_1,wikitext_etm_35,wikitext_etm_34,wikitext_etm_3,wikitext_etm_19,wikitext_etm_5,wikitext_etm_18,wikitext_etm_10,wikitext_etm_2,wikitext_etm_37,wikitext_etm_0,wikitext_etm_30,wikitext_fake_10000,wikitext_fake_10001,wikitext_fake_10002,wikitext_fake_10003,wikitext_fake_10004,wikitext_fake_10005,wikitext_fake_10006,wikitext_fake_10007,nytimes_fake_10008,nytimes_fake_10009,nytimes_fake_10010,nytimes_fake_10011,nytimes_fake_10012,nytimes_fake_10013,nytimes_fake_10014,nytimes_fake_10015
0,"2,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","2,4","1,4","2,5","3,4","2,5","2,4","2,6","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,6","2,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","2,5","3,4","3,4","3,4","1,6","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","1,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","1,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","1,5","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","1,4","3,4","2,4","3,4","2,4","2,4","1,4","1,4","1,4","1,5","1,6","1,6","1,5","1,4","1,5","1,4","1,4","1,4","2,4","1,4","1,4","1,5","1,4"
1,"3,4","3,4","2,4","1,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","3,4","2,4","3,4","2,5","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","1,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","2,5","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,5","2,4","1,4","2,6","2,4","1,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,5","2,4","2,4","3,4","3,4","3,4","1,4","3,4","2,5","3,4","2,4","3,4","3,5","3,4","2,4","1,4","2,4","2,4","2,4","3,4","3,4","2,4","3,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","2,4","3,4","3,4","2,4","1,4","3,4","2,4","2,4","2,4","1,4","2,4","3,4","2,4","1,4","1,6","1,5","1,5","2,6","1,6","2,5","1,6","1,5","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4"
2,"1,4","3,4","3,4","1,4","3,4","2,4","2,4","2,4","2,4","3,4","2,4","3,4","3,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","1,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","1,4","1,4","1,6","3,4","2,6","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","2,4","2,4","3,4","2,5","3,4","3,4","2,4","1,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,5","1,5","3,4","2,4","2,5","3,4","2,4","3,4","3,4","2,4","3,4","2,6","3,4","3,4","3,4","1,4","1,4","1,4","1,4","2,4","2,4","3,4","2,4","3,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","2,4","1,4","3,4","1,4","2,4","1,4","1,4","1,4","1,6","1,5","2,6","3,4","1,4","1,4","1,5","1,4","1,4","1,4","1,6","1,6","1,4","1,4","1,4","1,4"
3,"3,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","2,5","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,6","2,4","2,4","3,4","2,4","2,4","3,4","2,4","2,6","3,4","3,4","3,4","3,4","2,5","3,4","3,4","2,6","2,5","2,4","2,5","3,4","2,4","3,4","3,5","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","2,4","2,5","2,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","1,4","1,4","1,5","1,4","1,6","1,5","1,5","1,6","1,5","3,5","1,4","1,4","2,5","1,4","1,4","1,4","1,4","1,4"
4,"3,4","3,4","3,4","2,4","2,4","2,4","2,4","3,4","3,4","3,4","2,4","3,5","3,4","3,4","3,4","1,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","1,4","2,4","3,4","1,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,5","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,5","2,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,5","3,5","3,4","1,6","2,5","2,4","3,4","2,5","2,4","3,4","3,4","3,4","2,6","2,4","3,4","2,4","3,4","2,4","2,4","3,4","3,4","3,4","2,4","2,6","3,4","3,5","1,6","1,6","3,4","3,4","3,4","3,4","1,4","1,4","2,5","3,4","3,4","3,4","3,4","3,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,5","1,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","1,4","1,4","2,4","3,4","1,4","2,4","1,5","1,4","1,6","1,4","1,4","1,4","1,4","1,4","1,4","1,6","1,4","1,5","1,4","1,4","1,4","1,4"
5,"3,4","3,4","2,4","2,5","3,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","3,4","2,4","3,4","2,5","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","1,4","1,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","2,5","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,5","2,4","2,4","2,6","2,4","1,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,5","2,4","2,4","3,4","3,4","3,4","1,4","3,4","2,5","3,4","2,4","3,4","3,5","3,4","2,4","1,4","2,4","2,4","2,4","3,4","3,4","2,4","3,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","2,4","3,4","2,4","2,4","1,4","3,4","2,4","2,4","2,4","1,4","2,4","3,4","2,4","1,4","1,6","1,5","1,5","2,6","1,6","2,5","1,6","1,5","1,4","1,4","1,4","1,4","1,4","1,4","1,4","1,4"
6,"2,4","2,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","2,5","3,4","2,5","2,4","2,6","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,6","2,4","3,4","3,4","1,4","3,4","2,4","1,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","2,4","3,4","3,4","3,4","1,6","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","1,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","1,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","1,5","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","1,4","3,4","2,4","3,4","2,4","2,4","1,4","1,4","1,4","1,5","1,6","1,6","1,5","1,4","1,5","1,4","1,4","1,4","1,4","1,4","1,4","1,5","1,4"
7,"3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","2,4","3,4","1,4","2,4","1,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","2,6","3,5","2,5","1,4","3,4","3,5","3,4","3,5","3,4","3,4","3,5","3,4","2,4","2,5","1,6","2,6","2,5","2,6","2,4","3,4","3,4","2,4","3,4","3,5","2,4","2,4","3,4","3,4","3,4","3,5","3,6","1,4","2,5","3,4","3,4","3,4","3,4","3,4","2,6","3,5","3,4","3,4","2,6","3,4","3,4","1,4","1,4","1,4","2,4","2,4","3,4","3,4","3,4","1,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","1,4","3,4","3,4","3,4","1,4","1,4","3,4","2,4","2,4","3,4","1,4","1,4","2,4","1,4","1,4","3,4","2,4","1,4","1,5","1,6","1,5","1,5","3,5","1,4","1,5","2,4","1,5","2,4","1,5","2,4","1,4","2,5","1,5","1,4"
8,"2,4","3,4","2,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","2,4","3,4","2,4","3,4","2,4","2,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,5","2,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","2,4","2,4","2,4","3,4","2,4","3,4","2,4","3,5","3,4","3,4","2,4","3,4","3,4","3,5","2,6","1,6","2,5","2,4","2,6","3,5","3,4","3,4","2,4","2,5","3,4","3,4","2,6","2,4","2,6","2,6","2,4","2,5","2,5","2,4","3,4","3,5","2,6","2,4","2,4","2,4","1,6","2,5","1,6","3,4","3,4","3,4","2,6","3,4","1,6","2,4","2,6","3,4","3,4","3,5","3,4","3,4","1,5","1,4","1,4","3,4","3,4","1,4","3,4","3,4","3,4","1,4","3,4","2,4","2,4","2,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","1,4","2,4","2,4","2,4","2,4","2,4","1,4","2,4","2,4","2,4","2,4","3,4","3,4","2,4","1,4","3,4","2,4","1,4","3,4","2,4","1,4","2,4","2,4","1,4","1,5","1,6","1,5","1,5","1,6","2,6","1,5","1,6","1,4","1,4","1,6","1,4","1,4","1,4","1,4","1,4"
9,"2,4","3,4","3,4","2,5","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","1,4","3,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,5","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","2,6","2,6","3,4","3,4","3,4","1,4","3,4","2,4","3,4","3,4","3,4","3,5","3,4","2,5","3,4","3,4","2,4","3,4","2,4","2,6","3,4","3,4","2,4","2,6","3,4","2,6","3,4","3,6","3,4","3,4","3,4","2,6","1,4","2,4","2,4","3,4","1,5","3,4","2,4","3,4","1,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,5","3,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","2,4","3,4","3,4","2,4","2,4","2,4","3,4","2,4","3,4","2,4","2,4","1,4","2,4","1,4","1,4","2,6","1,6","1,4","2,5","1,6","1,5","1,4","1,4","1,4","2,6","1,4","1,4","1,4","1,5","2,4"
10,"3,4","3,4","3,4","2,5","3,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","2,4","3,4","1,4","3,4","2,4","3,4","2,4","2,4","3,4","2,4","3,4","1,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","2,4","1,4","1,6","3,4","2,6","2,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","2,5","3,6","3,4","3,4","2,4","1,4","3,5","2,4","3,4","3,4","3,4","3,4","3,4","2,6","3,4","2,6","2,4","2,4","3,4","2,6","3,4","3,4","3,4","2,4","3,4","2,4","2,4","2,4","3,4","3,4","3,4","3,4","1,4","1,4","2,4","1,4","2,4","3,4","3,4","3,4","1,4","3,4","1,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","3,4","2,4","3,4","2,4","1,4","2,4","3,4","2,4","1,4","2,4","3,4","3,4","1,4","2,4","3,4","1,4","3,4","1,4","2,4","2,4","1,4","1,4","1,6","1,5","2,6","3,4","1,6","1,6","1,5","1,4","1,6","1,4","1,5","1,4","1,4","1,6","1,4","1,4"
11,"1,4","3,4","3,4","1,4","3,4","2,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","1,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","1,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","1,4","3,4","1,6","3,4","2,6","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","2,4","2,4","3,4","2,5","3,4","3,4","2,6","1,4","3,4","3,4","1,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,5","1,5","3,4","2,6","2,5","3,4","2,4","3,4","3,4","3,4","3,4","2,6","3,4","3,4","3,4","1,4","1,4","1,4","1,4","2,4","2,4","3,4","2,4","3,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","2,4","2,4","3,4","2,4","2,4","3,4","2,4","1,4","3,4","1,4","2,4","1,4","1,4","1,4","1,6","1,6","1,4","1,5","1,4","1,4","1,4","1,4","1,4","1,4","1,6","1,4","1,4","1,4","1,4","1,4"
12,"3,4","3,4","2,4","1,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","1,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","2,4","3,4","3,4","1,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","2,5","2,4","3,4","3,4","3,4","3,4","2,4","1,4","3,4","3,4","3,4","2,6","3,5","3,4","2,5","1,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","2,6","3,4","2,4","2,4","2,5","2,4","3,4","2,6","3,4","3,4","3,5","3,4","3,4","3,4","3,4","3,4","1,4","2,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","1,4","2,4","3,4","3,4","1,4","2,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","1,4","2,4","3,4","2,4","1,4","1,5","2,6","2,6","1,4","2,6","1,6","2,5","1,4","1,4","1,4","1,4","1,6","1,4","1,4","1,4","1,4"
13,"3,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","3,4","3,4","1,4","2,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,6","2,4","2,5","3,4","3,4","3,4","3,4","3,4","2,4","2,5","3,4","2,4","3,4","3,5","3,4","2,4","1,6","2,6","3,4","2,5","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,6","2,5","3,4","3,4","3,4","3,4","1,4","2,5","2,4","2,4","2,6","3,4","3,4","3,4","3,4","2,5","1,4","2,4","2,4","3,4","1,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","1,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","1,4","2,4","3,4","2,4","2,4","2,4","1,4","2,4","2,4","3,4","1,4","2,4","3,4","3,4","2,4","2,4","3,4","2,4","3,4","1,4","2,4","3,4","1,4","2,4","1,5","1,5","2,4","3,4","2,6","1,6","1,5","1,4","1,4","1,4","2,4","1,4","1,4","1,4","2,4","2,4"
14,"1,4","3,4","3,4","2,5","3,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","2,4","2,4","3,4","3,4","2,4","3,4","3,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","2,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","2,5","3,4","2,4","3,4","2,4","2,4","2,5","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","2,4","2,6","3,4","2,5","2,4","2,5","3,4","2,4","3,4","2,5","2,4","2,4","3,4","1,4","2,4","2,4","2,5","3,4","3,5","3,4","2,6","3,4","2,5","3,4","1,5","3,4","3,4","3,4","2,4","2,4","1,4","3,4","3,4","3,4","3,4","3,4","3,4","2,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","3,4","3,4","3,4","3,4","2,4","2,4","2,4","2,4","3,4","2,4","2,4","3,4","3,4","1,4","3,4","3,4","3,4","2,4","3,4","3,4","2,4","3,4","1,4","2,4","2,4","2,6","1,4","1,6","1,4","1,6","1,6","1,5","1,5","1,5","1,4","1,4","1,4","1,4","2,5","1,4","1,4","1,4","1,4"
